"filename", "language", "TypeScript", "HTML", "XML", "CSS", "Svelte", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/stores.ts", "TypeScript", -24, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/svelecte-renderers.ts", "TypeScript", -112, 0, 0, 0, 0, 0, 0, 0, 0, -17, -129
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/ui-utils.ts", "TypeScript", -71, 0, 0, 0, 0, 0, 0, 0, -2, -12, -85
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/utils.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/webdata.ts", "TypeScript", -286, 0, 0, 0, 0, 0, 0, 0, -35, -50, -371
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.scss", "SCSS", 0, 0, 0, 0, 0, 0, -9, 0, -1, -65, -75
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.css", "CSS", 0, 0, 0, 181, 0, 0, 0, 0, 1, -21, 161
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/ui-types.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/vite.config.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 3, -1
"Total", "-", 51, -15, 67, 181, 3018, 1370, -9, 4, 225, 103, 4995
